timestamp,utilized_mw,available_mw,source_file,is_gap,hour,day,dayofweek,month,year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1h,lag_24h,lag_168h,roll_24h_mean,roll_168h_mean,util_ratio
2025-02-04 08:00:00,,,,1,8,4,1,2,2025,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 09:00:00,,,,1,9,4,1,2,2025,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 10:00:00,,,,1,10,4,1,2,2025,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 11:00:00,,,,1,11,4,1,2,2025,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 12:00:00,,,,1,12,4,1,2,2025,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 13:00:00,,,,1,13,4,1,2,2025,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 14:00:00,,,,1,14,4,1,2,2025,0,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 15:00:00,,,,1,15,4,1,2,2025,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 16:00:00,,,,1,16,4,1,2,2025,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 17:00:00,,,,1,17,4,1,2,2025,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 18:00:00,,,,1,18,4,1,2,2025,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 19:00:00,,,,1,19,4,1,2,2025,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 20:00:00,,,,1,20,4,1,2,2025,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 21:00:00,,,,1,21,4,1,2,2025,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 22:00:00,,,,1,22,4,1,2,2025,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-04 23:00:00,,,,1,23,4,1,2,2025,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 00:00:00,,,,1,0,5,2,2,2025,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 01:00:00,,,,1,1,5,2,2,2025,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 02:00:00,,,,1,2,5,2,2,2025,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 03:00:00,,,,1,3,5,2,2,2025,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 04:00:00,,,,1,4,5,2,2,2025,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
